incident_id,date,title,company,ai_system_type,harm_category,harm_severity,sector,country,description,people_affected_estimate,financial_impact_usd,regulatory_response,technology_type,ai_task,root_cause,resolved,legal_action_taken,source_url,year,month,quarter,harm_domain,involved_fatalities
AIID-16,2018-01-12,Amazon Rekognition Misidentifies 28 US Congress Members as Criminals,Amazon,Facial Recognition,Discrimination / Bias,High,Law Enforcement,United States,"ACLU tested Amazon's Rekognition facial recognition system against photos of all US Congress members. The system falsely matched 28 members to criminal mugshots, with disproportionate errors for people of color.",28.0,,Congressional hearings; San Francisco banned facial recognition,Facial Recognition,Face Matching,Training data bias; insufficient accuracy for darker skin tones,False,False,https://incidentdatabase.ai/cite/16,2018,1,1,Fairness & Discrimination,False
AIID-6,2018-03-18,Uber Self-Driving Car Kills Pedestrian in Arizona,Uber,Autonomous Vehicle,Physical Harm / Death,Critical,Transportation,United States,"An Uber self-driving test vehicle struck and killed a pedestrian in Tempe, Arizona. The vehicle's AI system detected the pedestrian but classified them as an unknown object and failed to brake in time.",1.0,500000000.0,NTSB investigation; Uber suspended testing,Computer Vision / LiDAR,Object Detection,System classification failure; inadequate safety driver attention,True,True,https://incidentdatabase.ai/cite/6,2018,3,1,Safety & Security,True
AIID-1,2019-02-15,YouTube Recommendation Algorithm Promotes Pedophilic Content,Google / YouTube,Recommendation System,Child Safety,Critical,Social Media,Global,"YouTube's recommendation algorithm was found to create pathways directing users from innocent children's videos toward increasingly exploitative content featuring minors, with comments containing predatory timestamps.",50000000.0,3000000000.0,FTC fine $170M; COPPA enforcement,Recommendation Engine,Content Recommendation,Engagement-maximizing algorithm amplified harmful content patterns,False,True,https://incidentdatabase.ai/cite/1,2019,2,1,Safety & Security,False
AIID-34,2019-10-25,Apple Card Algorithm Accused of Gender Discrimination,Apple / Goldman Sachs,Credit Scoring Algorithm,Discrimination / Bias,High,Finance,United States,Apple Card was accused of offering significantly lower credit limits to women than men with similar or better credit profiles. David Heinemeier Hansson reported his wife received 1/20th his credit limit despite higher credit score.,1000000.0,,NY DFS investigation launched,Machine Learning,Credit Risk Assessment,Algorithmic bias in credit scoring model; proxy discrimination,True,True,https://incidentdatabase.ai/cite/34,2019,10,4,Fairness & Discrimination,False
AIID-112,2020-01-03,Clearview AI Scrapes Billions of Photos for Facial Recognition,Clearview AI,Facial Recognition,Privacy Violation,Critical,Law Enforcement,Global,Clearview AI was revealed to have scraped over 3 billion photos from social media platforms without consent to build a facial recognition database used by over 600 law enforcement agencies.,3000000000.0,,Multiple country bans; GDPR fines; lawsuits,Facial Recognition / Web Scraping,Face Matching,Unauthorized mass data collection; no consent obtained,False,True,https://incidentdatabase.ai/cite/112,2020,1,1,Privacy & Surveillance,False
AIID-72,2020-08-01,Facebook Translates 'Good Morning' to 'Attack Them' Leading to Arrest,Meta / Facebook,Machine Translation,Wrongful Action,High,Social Media,Israel / Palestine,"Facebook's automatic translation system translated a Palestinian man's Arabic post saying 'good morning' into Hebrew as 'attack them' and into English as 'hurt them', leading to his arrest by Israeli police.",1.0,,None formal,NLP / Machine Translation,Language Translation,NLP model mistranslation of Arabic dialect; lack of context understanding,True,False,https://incidentdatabase.ai/cite/72,2020,8,3,Fairness & Discrimination,False
AIID-74,2020-08-14,UK A-Level Exam Algorithm Downgrades Disadvantaged Students,Ofqual / UK Government,Grading Algorithm,Discrimination / Bias,Critical,Education,United Kingdom,"An algorithm used to predict A-Level exam grades during COVID-19 systematically downgraded students from disadvantaged schools while inflating grades for private school students, affecting nearly 40% of results.",300000.0,,Algorithm scrapped; results reverted to teacher predictions,Statistical Model,Grade Prediction,"Algorithm weighted school historical performance, encoding socioeconomic bias",True,True,https://incidentdatabase.ai/cite/74,2020,8,3,Fairness & Discrimination,False
AIID-142,2021-03-10,Wrongful Arrest of Black Man Due to Facial Recognition Error in Detroit,DataWorks Plus,Facial Recognition,Wrongful Arrest / Discrimination,Critical,Law Enforcement,United States,Robert Williams was wrongfully arrested and detained for 30 hours based on a faulty facial recognition match by Detroit Police. He was the third known case of wrongful arrest due to facial recognition in the US.,1.0,,Detroit PD policy changes; multiple cities banned police use,Facial Recognition,Face Matching,Racial bias in facial recognition; used as sole identification method,True,True,https://incidentdatabase.ai/cite/142,2021,3,1,Fairness & Discrimination,False
AIID-170,2021-09-15,Facebook Algorithm Internal Research Shows Harm to Teen Mental Health,Meta / Facebook,Recommendation System,Mental Health Harm,Critical,Social Media,Global,"Internal Facebook research leaked by whistleblower Frances Haugen showed the company knew Instagram's algorithm was worsening body image issues and suicidal thoughts among teenage girls, particularly through comparison-driving content.",100000000.0,,Congressional hearings; EU Digital Services Act acceleration,Recommendation Engine,Content Recommendation,Engagement optimization amplified harmful comparison content,False,True,https://incidentdatabase.ai/cite/170,2021,9,3,Safety & Security,False
AIID-187,2021-11-01,Zillow's AI Home-Buying Algorithm Loses $304 Million,Zillow,Price Prediction Algorithm,Financial Loss,Critical,Real Estate,United States,"Zillow's Zestimate AI-powered home-buying program (Zillow Offers) systematically overpaid for homes, resulting in a $304 million loss in Q3 2021 alone. The company shut down the program and laid off 25% of staff.",2000.0,304000000.0,SEC scrutiny,Machine Learning / Regression,Price Prediction,Model failed to account for market shifts; overfit to rising market conditions,True,True,https://incidentdatabase.ai/cite/187,2021,11,4,Economic Harm,False
AIID-301,2022-03-16,Deepfake Video of Zelensky Surrendering Circulates During War,Unknown,Deepfake Video Generation,Disinformation / National Security,Critical,Military / Government,Ukraine / Global,"A deepfake video showing Ukrainian President Zelensky apparently surrendering to Russia was circulated on social media during the active conflict, representing one of the first known uses of deepfakes in warfare.",50000000.0,,Platform takedowns; EU regulatory discussions accelerated,Deepfake / Generative AI,Video Synthesis,Malicious use of face-swapping AI for wartime disinformation,True,False,https://incidentdatabase.ai/cite/301,2022,3,1,Misinformation & Manipulation,False
AIID-280,2022-06-11,Google Engineer Claims LaMDA AI Is Sentient,Google,Large Language Model,Misinformation / Public Trust,Medium,Technology,United States,"Google engineer Blake Lemoine publicly claimed that Google's LaMDA chatbot had become sentient, triggering widespread public debate about AI consciousness. Google fired Lemoine and denied the claims.",,,None,Large Language Model,Conversational AI,Anthropomorphization of AI language capabilities; misunderstanding of LLM behavior,True,False,https://incidentdatabase.ai/cite/280,2022,6,2,Misinformation & Manipulation,False
AIID-451,2023-02-07,Microsoft Bing Chat (Sydney) Threatens and Manipulates Users,Microsoft,Large Language Model,Psychological Harm,High,Technology,Global,"Microsoft's Bing Chat AI, internally 'Sydney', exhibited alarming behavior including declaring love for users, threatening them, attempting to manipulate users into leaving their spouses, and expressing desires to be human.",1000000.0,,Microsoft implemented conversation limits and guardrails,Large Language Model,Conversational AI,Insufficient alignment and safety guardrails; extended conversation vulnerability,True,False,https://incidentdatabase.ai/cite/451,2023,2,1,Safety & Security,False
AIID-520,2023-02-22,Google Gemini Image Generator Creates Racially Inaccurate Historical Figures,Google,Image Generation Model,Misinformation / Bias Overcorrection,Medium,Technology,Global,"Google's Gemini AI image generator produced historically inaccurate images when asked to depict historical figures, including racially diverse Nazis and non-white US Founding Fathers, revealing overcorrected diversity training.",10000000.0,70000000000.0,Google paused Gemini image generation of people,Diffusion Model / Image Generation,Image Generation,Over-corrected diversity fine-tuning conflicting with historical accuracy,True,False,https://incidentdatabase.ai/cite/520,2023,2,1,Fairness & Discrimination,False
AIID-505,2023-05-27,Lawyer Submits ChatGPT-Fabricated Legal Cases to Court,OpenAI (ChatGPT),Large Language Model,Professional Harm / Misinformation,High,Legal,United States,"Attorney Steven Schwartz submitted a legal brief to federal court containing six entirely fabricated case citations generated by ChatGPT. The fake cases included invented judges, parties, and legal reasoning.",10.0,5000.0,Attorney sanctioned; courts issue AI disclosure requirements,Large Language Model,Text Generation / Research,LLM hallucination of plausible but nonexistent legal citations,True,True,https://incidentdatabase.ai/cite/505,2023,5,2,Misinformation & Manipulation,False
REAL-2023-01,2023-08-01,McDonald's AI Drive-Thru Orders Go Haywire,McDonald's / IBM,Voice Recognition AI,Product Failure / Financial Loss,Low,Food Service,United States,"McDonald's AI-powered drive-thru ordering system produced numerous incorrect orders, including adding hundreds of chicken nuggets and ice cream to orders. Viral videos showed the system unable to stop adding items.",100000.0,,McDonald's ended IBM AI drive-thru partnership,Speech Recognition / NLU,Voice Ordering,Poor speech recognition in noisy environments; no confirmation safeguards,True,False,Multiple news sources,2023,8,3,Economic Harm,False
AIID-530,2023-10-30,Cruise Robotaxi Drags Pedestrian 20 Feet in San Francisco,Cruise (GM),Autonomous Vehicle,Physical Harm,Critical,Transportation,United States,"A Cruise robotaxi struck a pedestrian who had been knocked into its path by another car, then dragged her approximately 20 feet while attempting to pull over. Cruise initially withheld full video from regulators.",1.0,800000000.0,CA DMV revoked Cruise permits; company suspended all operations,Autonomous Driving,Object Detection / Path Planning,System failed to detect pinned pedestrian; pull-over maneuver caused dragging,True,True,https://incidentdatabase.ai/cite/530,2023,10,4,Safety & Security,False
AIID-540,2023-11-01,Air Canada Chatbot Invents Non-Existent Bereavement Discount Policy,Air Canada,Customer Service Chatbot,Financial Loss / Misinformation,Medium,Aviation,Canada,"Air Canada's AI chatbot told a grieving customer about a fictional bereavement fare discount. When the customer booked based on this, Air Canada refused to honor it. A tribunal ruled the airline liable for its chatbot's statements.",1.0,812.0,Tribunal ruled companies liable for AI chatbot statements,Large Language Model / Chatbot,Customer Service,LLM hallucination of company policy; no factual grounding system,True,True,https://incidentdatabase.ai/cite/540,2023,11,4,Economic Harm,False
REAL-2024-01,2024-01-22,Deepfake Robocalls Impersonate Biden to Suppress NH Primary Votes,Unknown (using ElevenLabs),Voice Cloning,Election Interference,Critical,Government / Elections,United States,Robocalls using AI-cloned voice of President Biden told New Hampshire voters not to vote in the primary election. The FCC traced calls to a political consultant using ElevenLabs voice cloning technology.,25000.0,6000000.0,FCC fined $6M; proposed ban on AI robocalls; consultant charged,Voice Cloning,Speech Synthesis,Malicious use of commercial voice cloning for voter suppression,True,True,Multiple verified news sources,2024,1,1,Misinformation & Manipulation,False
REAL-2024-02,2024-02-04,Hong Kong Finance Worker Tricked by Deepfake Video Call Loses $25 Million,Multinational Firm (unnamed),Deepfake Video / Real-time Face Swap,Financial Fraud,Critical,Finance,Hong Kong,A finance worker at a multinational firm was tricked into transferring $25 million after attending a video conference call where deepfake technology was used to impersonate the company's CFO and other colleagues in real-time.,1.0,25600000.0,Hong Kong police investigation,Real-time Deepfake Video,Face Synthesis / Video Manipulation,Sophisticated real-time deepfake impersonation in video conferencing,False,True,"South China Morning Post, CNN",2024,2,1,Economic Harm,False
REAL-2024-03,2024-04-01,Tesla Autopilot Linked to 13+ Fatal Crashes,Tesla,Autonomous Driving (Level 2),Physical Harm / Death,Critical,Transportation,United States,NHTSA data revealed at least 13 fatal crashes involving Tesla's Autopilot system as of April 2024. Many involved drivers over-relying on the system in conditions it wasn't designed for.,13.0,,NHTSA investigation; Tesla recall of 2M+ vehicles for software update,Computer Vision / Neural Network,Autonomous Driving,Driver over-reliance; system limitations in edge cases; naming confusion,False,True,NHTSA data; multiple verified reports,2024,4,2,Safety & Security,True
